timestamp,one_minus_M_AE
2024-05-10 08:45:00+00:00,180
2024-05-10 08:46:00+00:00,178
2024-05-10 08:47:00+00:00,173
2024-05-10 08:48:00+00:00,168
2024-05-10 08:49:00+00:00,168
2024-05-10 08:50:00+00:00,168
2024-05-10 08:51:00+00:00,165
2024-05-10 08:52:00+00:00,164
2024-05-10 08:53:00+00:00,161
2024-05-10 08:54:00+00:00,157
2024-05-10 08:55:00+00:00,157
2024-05-10 08:56:00+00:00,157
2024-05-10 08:57:00+00:00,158
2024-05-10 08:58:00+00:00,159
2024-05-10 08:59:00+00:00,157
2024-05-10 09:00:00+00:00,154
2024-05-10 09:01:00+00:00,145
2024-05-10 09:02:00+00:00,139
2024-05-10 09:03:00+00:00,118
2024-05-10 09:04:00+00:00,116
2024-05-10 09:05:00+00:00,139
2024-05-10 09:06:00+00:00,146
2024-05-10 09:07:00+00:00,142
2024-05-10 09:08:00+00:00,144
2024-05-10 09:09:00+00:00,145
2024-05-10 09:10:00+00:00,147
2024-05-10 09:11:00+00:00,146
2024-05-10 09:12:00+00:00,137
2024-05-10 09:13:00+00:00,126
2024-05-10 09:14:00+00:00,115
2024-05-10 09:15:00+00:00,131
2024-05-10 09:16:00+00:00,127
2024-05-10 09:17:00+00:00,119
2024-05-10 09:18:00+00:00,111
2024-05-10 09:19:00+00:00,101
2024-05-10 09:20:00+00:00,93
2024-05-10 09:21:00+00:00,91
2024-05-10 09:22:00+00:00,92
2024-05-10 09:23:00+00:00,92
2024-05-10 09:24:00+00:00,90
2024-05-10 09:25:00+00:00,90
2024-05-10 09:26:00+00:00,90
2024-05-10 09:27:00+00:00,88
2024-05-10 09:28:00+00:00,86
2024-05-10 09:29:00+00:00,79
2024-05-10 09:30:00+00:00,79
2024-05-10 09:31:00+00:00,78
2024-05-10 09:32:00+00:00,74
2024-05-10 09:33:00+00:00,66
2024-05-10 09:34:00+00:00,66
2024-05-10 09:35:00+00:00,64
2024-05-10 09:36:00+00:00,60
2024-05-10 09:37:00+00:00,57
2024-05-10 09:38:00+00:00,58
2024-05-10 09:39:00+00:00,59
2024-05-10 09:40:00+00:00,61
2024-05-10 09:41:00+00:00,66
2024-05-10 09:42:00+00:00,67
2024-05-10 09:43:00+00:00,69
2024-05-10 09:44:00+00:00,62
2024-05-10 09:45:00+00:00,57
2024-05-10 09:46:00+00:00,60
2024-05-10 09:47:00+00:00,63
2024-05-10 09:48:00+00:00,66
2024-05-10 09:49:00+00:00,64
2024-05-10 09:50:00+00:00,68
2024-05-10 09:51:00+00:00,67
2024-05-10 09:52:00+00:00,70
2024-05-10 09:53:00+00:00,69
2024-05-10 09:54:00+00:00,69
2024-05-10 09:55:00+00:00,63
2024-05-10 09:56:00+00:00,67
2024-05-10 09:57:00+00:00,72
2024-05-10 09:58:00+00:00,80
2024-05-10 09:59:00+00:00,89
2024-05-10 10:00:00+00:00,88
2024-05-10 10:01:00+00:00,90
2024-05-10 10:02:00+00:00,102
2024-05-10 10:03:00+00:00,108
2024-05-10 10:04:00+00:00,94
2024-05-10 10:05:00+00:00,87
2024-05-10 10:06:00+00:00,95
2024-05-10 10:07:00+00:00,100
2024-05-10 10:08:00+00:00,86
2024-05-10 10:09:00+00:00,88
2024-05-10 10:10:00+00:00,87
2024-05-10 10:11:00+00:00,86
2024-05-10 10:12:00+00:00,87
2024-05-10 10:13:00+00:00,92
2024-05-10 10:14:00+00:00,97
2024-05-10 10:15:00+00:00,100
2024-05-10 10:16:00+00:00,104
2024-05-10 10:17:00+00:00,116
2024-05-10 10:18:00+00:00,123
2024-05-10 10:19:00+00:00,133
2024-05-10 10:20:00+00:00,141
2024-05-10 10:21:00+00:00,149
2024-05-10 10:22:00+00:00,163
2024-05-10 10:23:00+00:00,170
2024-05-10 10:24:00+00:00,178
2024-05-10 10:25:00+00:00,189
2024-05-10 10:26:00+00:00,193
2024-05-10 10:27:00+00:00,190
2024-05-10 10:28:00+00:00,191
2024-05-10 10:29:00+00:00,198
2024-05-10 10:30:00+00:00,213
2024-05-10 10:31:00+00:00,214
2024-05-10 10:32:00+00:00,214
2024-05-10 10:33:00+00:00,218
2024-05-10 10:34:00+00:00,218
2024-05-10 10:35:00+00:00,213
2024-05-10 10:36:00+00:00,221
2024-05-10 10:37:00+00:00,234
2024-05-10 10:38:00+00:00,238
2024-05-10 10:39:00+00:00,242
2024-05-10 10:40:00+00:00,258
2024-05-10 10:41:00+00:00,276
2024-05-10 10:42:00+00:00,295
2024-05-10 10:43:00+00:00,302
2024-05-10 10:44:00+00:00,306
2024-05-10 10:45:00+00:00,308
2024-05-10 10:46:00+00:00,306
2024-05-10 10:47:00+00:00,317
2024-05-10 10:48:00+00:00,323
2024-05-10 10:49:00+00:00,334
2024-05-10 10:50:00+00:00,340
2024-05-10 10:51:00+00:00,346
2024-05-10 10:52:00+00:00,366
